 2018-12-21 23:15:35,815 [P7852/D3/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.7.4 application starting on im-web
 2018-12-21 23:15:38,924 [P7852/D3/T1] INFO  UmbracoExamine.DataServices.UmbracoLogService - PerformIndexAll - Start data queries - member, Provider=InternalMemberIndexer, NodeId=-1
 2018-12-21 23:15:39,049 [P7852/D3/T1] INFO  UmbracoExamine.DataServices.UmbracoLogService - PerformIndexAll - End data queries - member, took 123ms, Provider=InternalMemberIndexer, NodeId=-1
 2018-12-21 23:15:39,049 [P7852/D3/T1] INFO  UmbracoExamine.DataServices.UmbracoLogService - Rebuilding index, Provider=InternalIndexer, NodeId=-1
 2018-12-21 23:15:39,065 [P7852/D3/T1] INFO  UmbracoExamine.DataServices.UmbracoLogService - PerformIndexAll - Start data queries - content, Provider=InternalIndexer, NodeId=-1
 2018-12-21 23:15:39,205 [P7852/D3/T1] INFO  Umbraco.Core.PluginManager - Resolving umbraco.interfaces.IDiscoverable
 2018-12-21 23:15:39,205 [P7852/D3/T1] INFO  Umbraco.Core.PluginManager - Resolved umbraco.interfaces.IDiscoverable (took 0ms)
 2018-12-21 23:15:39,205 [P7852/D3/T1] INFO  Umbraco.Core.PluginManager - Resolving Umbraco.Core.PropertyEditors.IParameterEditor
 2018-12-21 23:15:39,205 [P7852/D3/T1] INFO  Umbraco.Core.PluginManager - Resolved Umbraco.Core.PropertyEditors.IParameterEditor (took 2ms)
 2018-12-21 23:15:39,377 [P7852/D3/T1] INFO  UmbracoExamine.DataServices.UmbracoLogService - PerformIndexAll - End data queries - content, took 308ms, Provider=InternalIndexer, NodeId=-1
 2018-12-21 23:15:39,377 [P7852/D3/T1] INFO  UmbracoExamine.DataServices.UmbracoLogService - PerformIndexAll - Start data queries - media, Provider=InternalIndexer, NodeId=-1
 2018-12-21 23:15:39,612 [P7852/D3/T1] INFO  UmbracoExamine.DataServices.UmbracoLogService - PerformIndexAll - End data queries - media, took 235ms, Provider=InternalIndexer, NodeId=-1
 2018-12-21 23:15:39,612 [P7852/D3/T1] INFO  UmbracoExamine.DataServices.UmbracoLogService - Rebuilding index, Provider=ExternalIndexer, NodeId=-1
 2018-12-21 23:15:39,612 [P7852/D3/T1] INFO  UmbracoExamine.DataServices.UmbracoLogService - PerformIndexAll - Start data queries - content, Provider=ExternalIndexer, NodeId=-1
 2018-12-21 23:15:39,721 [P7852/D3/T1] INFO  UmbracoExamine.DataServices.UmbracoLogService - PerformIndexAll - End data queries - content, took 96ms, Provider=ExternalIndexer, NodeId=-1
 2018-12-21 23:15:39,721 [P7852/D3/T1] INFO  UmbracoExamine.DataServices.UmbracoLogService - PerformIndexAll - Start data queries - media, Provider=ExternalIndexer, NodeId=-1
 2018-12-21 23:15:39,737 [P7852/D3/T1] INFO  UmbracoExamine.DataServices.UmbracoLogService - PerformIndexAll - End data queries - media, took 26ms, Provider=ExternalIndexer, NodeId=-1
 2018-12-21 23:15:39,752 [P7852/D3/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco application startup complete (took 4010ms)
 2018-12-21 23:15:39,893 [P7852/D3/T10] INFO  Umbraco.Core.Sync.ApplicationUrlHelper - ApplicationUrl: http://medialayers.brumpton.co.uk:80/umbraco (UmbracoModule request)
 2018-12-21 23:15:42,862 [P7852/D3/T8] INFO  umbraco.content - Save Xml to file...
 2018-12-21 23:15:42,862 [P7852/D3/T8] INFO  umbraco.content - Saved Xml to file.
 2018-12-21 23:15:44,558 [P7852/D3/T10] INFO  Umbraco.Core.PluginManager - Resolving umbraco.interfaces.IDiscoverable
 2018-12-21 23:15:44,558 [P7852/D3/T10] INFO  Umbraco.Core.PluginManager - Resolved umbraco.interfaces.IDiscoverable (took 0ms)
 2018-12-21 23:15:44,558 [P7852/D3/T10] INFO  Umbraco.Core.PluginManager - Resolving Umbraco.Core.Deploy.IServiceConnector
 2018-12-21 23:15:44,558 [P7852/D3/T10] INFO  Umbraco.Core.PluginManager - Resolved Umbraco.Core.Deploy.IServiceConnector (took 2ms)
 2018-12-21 23:16:40,071 [P7852/D3/T7] INFO  Umbraco.Core.PluginManager - Resolving umbraco.interfaces.IDiscoverable
 2018-12-21 23:16:40,071 [P7852/D3/T7] INFO  Umbraco.Core.PluginManager - Resolved umbraco.interfaces.IDiscoverable (took 0ms)
 2018-12-21 23:16:40,071 [P7852/D3/T7] INFO  Umbraco.Core.PluginManager - Resolving [Umbraco.Core.Persistence.Mappers.MapperForAttribute]Umbraco.Core.Persistence.Mappers.BaseMapper
 2018-12-21 23:16:40,071 [P7852/D3/T7] INFO  Umbraco.Core.PluginManager - Resolved [Umbraco.Core.Persistence.Mappers.MapperForAttribute]Umbraco.Core.Persistence.Mappers.BaseMapper (took 6ms)
 2018-12-21 23:16:40,086 [P7852/D3/T8] INFO  umbraco.BusinessLogic.Log - Log scrubbed.  Removed all items older than 2018-12-20 23:16:40
